359 428 535 1617 2848
0800 0 0 1 0 0
0830 0 1 1 0 1
box 0 0 0 3 3
etc 0 0 0 0 1
509,144 0 0 0 0 1
277,834 0 0 0 0 1
2,258,341 0 0 0 0 1
1,328,634 0 0 0 0 1
2,177,553 0 0 0 0 1
1,564,605 0 0 0 0 1
1,150,633 0 0 0 0 1
649,914 0 0 0 0 1
6,169,168 0 0 0 0 1
3,178,115 0 0 0 0 1
heinz 0 0 0 2 18
hnz 0 0 0 0 3
h.j 0 0 0 1 8
74.7 0 0 0 0 2
63.2 0 0 0 0 2
244.4 0 0 0 0 2
219.7 0 0 0 0 2
23rd 0 0 0 0 1
j.f 0 0 0 1 1
o'reilli 0 0 0 2 7
medtron 0 0 0 0 2
mdt 0 0 0 0 3
usacaf 0 0 0 0 3
usf 0 0 0 0 2
bindley 0 0 0 0 1
1,826,000 0 0 0 0 1
205.4 0 0 0 0 1
171.1 0 0 0 0 1
6,512,462 0 0 0 0 1
6,510,462 0 0 0 0 1
5,393,000 0 0 0 0 1
4,955,000 0 0 0 0 1
719.9 0 0 0 0 1
633.5 0 0 0 0 1
6,511,591 0 0 0 0 1
6,508,379 0 0 0 0 1
9,122,722 0 0 0 0 1
2,323,000 0 0 0 0 2
2,239 0 0 0 0 1
6,612,000 0 0 0 0 1
unreal 0 0 0 0 3
1,155,000 0 0 0 0 2
1,053,000 0 0 0 0 1
462,000 0 2 0 0 1
bancorpor 0 0 0 2 2
peop 0 0 0 0 2
megaphon 0 0 0 0 1
infl 0 0 0 0 1
388,000 0 0 0 0 1
1,425,000 0 0 0 0 2
1,126,000 0 0 0 0 1
3,604,000 0 0 0 0 2
2,108,000 0 0 0 0 1
5,712,000 0 0 0 0 1
6,604,000 0 0 0 0 1
413,000 0 0 0 0 1
cheung 0 0 0 4 6
ckgh.hk 0 0 0 0 2
four-for-on 0 0 0 0 4
551.7 0 0 0 0 2
983.6 0 0 0 0 2
hilton 0 0 0 4 14
hkeh.hk 0 0 0 0 2
buoyant 0 1 2 1 3
coloni 0 0 0 13 5
reclam 0 0 0 2 1
vallen 0 0 0 0 1
valn 0 0 0 0 1
1,327,000 0 0 0 0 1
1,342,000 0 0 0 0 1
756,000 0 0 0 0 1
e-system 0 0 0 0 2
esi 0 0 0 0 2
natwest 0 0 0 0 1
rabo 0 0 0 0 1
lanschot 0 0 0 0 4
bankier 0 0 0 0 2
co-own 0 0 0 0 2
westminst 0 0 1 0 2
nwbl.l 0 0 0 0 1
rabobank 0 0 1 0 2
b.a 0 0 0 0 2
rabn.a 0 0 0 0 1
4.8-pct 0 0 0 0 1
beleggingscompagni 0 0 0 0 1
b.v 0 0 0 2 1
40-pct 0 0 0 0 1
verzekeringsgroep 0 0 0 0 1
5.4-pct 0 0 0 0 1
biod 0 0 0 1 1
154,654 0 0 0 0 1
419,606 0 0 0 0 1
517,699 0 0 0 0 1
374,108 0 0 0 0 1
821,979 0 0 0 0 1
1,368,591 0 0 0 0 1
1,650,657 0 0 0 0 1
1,285,473 0 0 0 0 1
tseng 0 0 0 0 6
tsng 0 0 0 0 2
4,255,731 0 0 0 0 1
258,125 0 0 0 0 2
costom 0 0 0 0 1
549,950 0 0 0 0 1
19,163 0 0 0 0 1
odsi 0 0 0 0 1
279,726 0 0 0 0 1
76,591 0 0 0 0 1
nexl.l 0 0 0 0 1
7.67p 0 0 0 0 1
5.34p 0 0 0 0 1
1.5p 0 0 0 0 1
1.08p 0 0 0 0 1
30.12 0 0 0 0 1
12.40 0 0 0 0 1
2.55 0 3 0 2 4
19.58 2 0 0 0 1
7.44 0 0 0 0 2
257.66 0 0 0 0 1
74.09 0 0 0 0 1
zenith 0 0 0 0 7
zen 0 0 0 0 2
3,451,000 0 0 0 0 1
cefadroxil 0 0 0 0 1
antibiot 0 0 0 0 1
cbkg.f 0 0 1 3 2
viewpoint 0 0 1 0 1
2/12th 0 0 0 0 1
contrast 0 3 6 0 2
profit-ori 0 0 0 0 1
93.2 0 0 0 0 1
148.15 0 0 0 0 1
2.56 0 0 0 0 5
752 1 0 0 0 1
244 0 0 0 4 2
233 1 0 0 0 1
two-figur 0 0 0 0 1
aeg 0 0 0 0 1
aegg.f 0 0 0 0 1
daimler-benz 0 0 0 0 1
daig.f 0 0 0 0 1
numer 0 1 0 4 1
insolv 0 0 0 2 1
asid 0 3 6 4 5
hitherto 0 0 0 0 1
gover 1 1 0 0 1
unforseen 0 0 0 0 1
debt-equ 0 0 0 0 1
indebt 0 0 1 0 1
2,915,000 0 0 0 0 1
8,131,000 0 0 0 0 1
119,000 0 0 0 0 5
625,000 0 0 0 0 3
860,000 0 0 0 0 2
47.42 0 0 0 1 0
stgn.pa 0 0 0 1 0
alsacienn 0 0 0 1 0
sogen 0 0 0 7 0
1881 0 0 0 1 0
nationalis 0 0 0 2 0
geronimu 0 0 0 3 0
edouard 0 0 2 3 0
balladur 0 0 2 3 0
52.58 0 0 0 1 0
marc 0 0 0 3 1
vienot 0 0 0 1 1
263 0 0 0 1 1
nanci 0 0 0 1 0
12,500 0 2 0 1 0
anyway 0 0 2 1 0
basl 0 0 0 1 1
strasbourg 0 0 0 1 0
prive 0 0 0 1 0
gestion 0 0 0 1 0
financier 0 0 0 3 2
bpgf 0 0 0 1 0
pierr 0 0 0 4 0
moussa 0 0 0 1 0
palla 0 0 0 1 0
hambro 0 0 0 1 0
pico 0 0 0 0 2
960,143 0 0 0 0 1
1,631,011 0 0 0 0 1
27.4 0 0 0 0 3
3,079,533 0 0 0 0 1
3,096,095 0 0 0 0 1
1.01 1 1 2 0 11
3,113,337 0 0 0 0 1
2,855,755 0 0 0 0 1
106.5 0 0 0 0 2
78.3 1 0 0 0 3
3,079,516 0 0 0 0 1
3,089,140 0 0 0 0 1
six-for-f 0 0 0 0 2
3,049,564 0 0 0 0 1
2,010,972 0 0 0 0 1
9,841,204 0 0 0 0 1
5,798,995 0 0 0 0 1
non-insur 0 0 0 0 1
1,627,518 0 0 0 0 1
1,550,329 0 0 0 0 1
7,289,973 0 0 0 0 1
4,639,162 0 0 0 0 1
548,538 0 0 0 0 1
241,465 0 0 0 0 1
2,104,840 0 0 0 0 1
300,404 0 0 0 0 1
buehler 0 0 0 0 1
bulr 0 0 0 0 1
223,000 0 1 0 0 3
1,418,000 0 0 0 0 1
3,106,000 0 0 0 0 1
1,365,000 0 0 0 0 1
sarasota 0 0 0 4 0
utensil 0 0 0 1 0
420,500 0 0 0 1 0
10-31 0 0 0 1 0
dairi 0 8 0 4 13
indqa 0 0 0 0 1
1,706,601 0 0 0 0 1
1,226,609 0 0 0 0 1
42.7 0 0 0 0 2
9,695,444 0 0 0 0 1
9,537,043 0 0 0 0 1
wesco 0 0 0 1 1
wsc 0 0 0 0 1
5.05 0 2 0 0 1
5,628,000 0 0 0 0 1
35,936,000 0 0 0 0 1
7.24 0 0 0 0 1
16,524,000 0 0 0 0 1
51,541,000 0 0 0 0 1
160.2 0 0 0 0 2
4.81 1 1 0 0 3
electro-sensor 0 0 0 0 3
els 0 3 3 8 3
626,013 0 0 0 0 1
613,127 0 0 0 0 1
4,544,929 0 0 0 0 1
4,402,572 0 0 0 0 1
29,532 0 0 0 0 1
81,358 0 0 0 0 1
cyanamid 0 0 0 3 2
fothergil 0 0 0 2 0
harvey 0 0 0 2 0
adhes 0 0 0 9 0
honeycomb 0 0 0 1 0
wrexham 0 0 0 1 0
leonhard 0 0 1 0 0
glesk 0 0 9 0 0
perspect 0 0 2 1 0
overvalu 0 0 9 0 0
hamper 0 1 5 3 2
prioriti 5 0 12 0 1
configur 0 0 1 0 0
impati 0 0 1 2 0
anat 0 0 0 1 0
nvid 0 0 0 0 2
50,745 0 0 0 0 2
161,019 0 0 0 0 2
478,700 0 0 0 0 2
1,048,543 0 0 0 0 2
3,217,500 0 0 0 0 4
169,275 0 0 0 0 2
390,179 0 0 0 0 2
1,478,066 0 0 0 0 2
2,658,692 0 0 0 0 2
elcor 0 0 0 0 3
bhami 0 0 0 1 0
dubin 0 0 0 3 0
eli 0 0 0 5 0
elizabeth 0 0 0 4 0
arden 0 0 0 7 2
quo 1 0 0 0 1
grubman 0 0 0 0 2
scrap 1 2 6 0 2
constrain 1 1 0 0 2
long-dist 0 0 0 0 4
rate-of-return 0 0 0 0 1
12.20 0 0 0 0 1
gartner 0 0 0 4 2
fritz 0 2 0 0 2
ringl 0 0 0 0 1
oppon 0 1 1 0 1
constitu 0 0 0 0 1
bureacraci 1 0 0 0 1
stricli 0 0 0 0 1
krueger 0 0 0 0 1
resrouc 0 0 0 0 1
79,069 0 0 0 0 1
829,737 0 0 0 0 1
extraordaini 0 0 0 0 1
rykoff-sexton 0 0 0 0 1
ryk 0 0 0 0 1
1,456,000 0 0 0 0 1
1,925,000 0 0 0 0 1
258.7 0 0 0 0 2
290.2 0 0 0 0 1
5,384,000 0 0 0 0 2
7,658,000 0 0 0 0 1
804.3 0 0 0 0 1
760.1 0 0 0 0 1
cri 0 0 0 0 7
cii 0 0 0 0 2
brighton 0 0 0 0 1
meadow 0 0 0 0 3
1.1646 0 0 0 0 1
tpn.pa 2 0 0 0 1
francois-xavi 0 0 0 0 1
ortoli 0 0 0 0 1
armand 0 0 0 0 1
guilbaud 0 0 0 0 2
raffinage-distribut 0 0 0 0 1
crd 0 0 0 0 3
raff.pa 0 0 0 0 1
1.95 1 1 0 0 6
6,800 0 0 0 0 1
1.503 0 0 1 0 0
106.96 1 0 0 0 0
106.33 1 0 0 0 0
2.29 3 0 0 0 3
247.91 1 0 0 0 0
245.62 1 0 0 0 0
8.52 3 0 0 0 1
337.73 1 0 0 0 0
329.21 1 0 0 0 0
38.25 1 0 0 0 0
37.98 1 0 0 0 0
12.54 1 0 0 0 0
12.21 2 0 0 0 0
80.4 1 0 0 0 1
3.60 1 0 0 0 1
eia 32 0 0 0 0
4,524,000 0 0 0 0 1
3,212,000 0 0 0 0 1
202.5 0 0 0 0 1
171.9 0 0 0 0 2
7,112,480 0 0 0 0 2
7,052,964 0 0 0 0 2
8,034,223 0 0 0 0 2
8,008,763 0 0 0 0 1
9,252,000 0 0 0 0 1
612.4 0 0 0 0 1
523.4 0 0 0 0 1
7,732,544 0 0 0 0 1
441,000 0 0 0 0 3
539,000 0 0 0 0 1
407,000 0 0 0 0 2
fgrp 0 0 0 0 1
55,513,000 0 0 0 0 1
48,741,000 0 0 0 0 1
290.9 0 0 0 0 1
264.2 0 0 0 0 2
3.09 1 0 0 0 2
213,470,000 0 0 0 0 1
184,649,000 0 0 0 0 1
992.9 0 0 0 0 1
69,127,000 0 0 0 0 1
68,004,000 0 0 0 0 1
death 0 2 0 0 0
weed 0 1 0 0 0
spray 0 1 0 1 0
insect 0 13 0 0 0
subsoil 0 1 0 0 0
fieldwork 0 4 0 0 0
stb 0 0 0 1 2
145.20/30 0 0 2 0 0
kaiser 0 0 0 12 0
beaten 0 0 1 0 0
finger 0 0 1 0 0
displeasur 0 0 2 0 0
roar 0 0 1 0 0
o'neil 0 0 3 2 0
na 0 0 2 3 9
pfennig 0 0 3 0 0
regress 0 0 1 0 0
remind 0 2 3 1 0
encompass 0 0 4 0 0
enquir 0 0 1 0 0
hover 0 0 7 0 0
1.5355 0 0 1 0 0
high-yield 0 3 2 0 3
surmis 0 0 1 0 0
dollar/mark 0 0 3 0 0
incumb 0 0 1 1 0
ann 0 0 3 0 1
1.5750 0 0 1 0 0
1.5870 0 0 1 0 0
2.917 0 0 1 0 0
2.950 0 0 2 0 0
2.98 0 3 1 1 0
profit-tak 1 0 2 0 0
sterling/mark 0 0 1 0 0
mcgroarti 0 0 2 0 0
accler 0 0 1 0 0
stymi 0 0 1 0 0
1.3218/23 0 0 1 0 0
1.3185/90 0 0 1 0 0
67.45/55 0 0 1 0 0
69.02 0 0 1 0 0
stifl 0 0 2 0 0
152.35/40 0 0 1 0 0
153.35/40 0 0 1 0 0
unwound 0 0 1 0 0
sterling/short 0 0 1 0 0
repatri 0 0 1 0 0
hun 0 0 0 0 2
2,405,000 0 0 0 0 1
1,908,000 0 0 0 0 1
7,114,000 0 0 0 0 1
7,075,000 0 0 0 0 2
atico 0 0 0 5 2
atfc 0 0 0 1 1
5.92 0 0 0 0 1
1,142,000 0 0 0 0 2
3,320,000 0 0 0 0 1
45.00 0 0 0 0 1
5.86 0 0 0 0 1
pan 0 1 0 1 12
ncnb 0 0 0 0 1
1,492,000 0 0 0 0 2
1,842,000 0 0 0 0 1
131.1 0 0 0 0 1
144.5 0 0 0 0 2
1,295,000 0 0 0 0 2
recrod 0 0 0 0 2
dclare 0 0 0 0 1
security-sensit 0 0 0 2 0
grab 0 0 0 1 0
fairchild-fujitsu 0 0 0 1 0
beat 1 0 0 2 1
chip 0 0 0 4 1
french-control 0 0 0 2 0
everybodi 0 0 1 1 0
top-level 0 0 0 1 0
interag 0 3 0 1 0
hum 0 0 0 1 2
cfmi 0 0 0 1 1
plaid 0 0 0 2 0
groceri 0 0 0 3 2
mechtron 0 0 0 0 1
mcht 0 0 0 0 1
1,220,000 0 0 0 0 2
1,608,000 0 0 0 0 1
1,530,000 0 0 0 0 1
583,747 1 0 0 0 0
596,740 1 0 0 0 0
campo 1 0 0 0 0
346,011 1 0 0 0 0
357,420 1 0 0 0 0
alcohol 1 0 0 0 0
208,600 1 0 0 0 0
cetec 0 0 0 0 2
cec 0 0 0 0 2
soi 0 0 0 3 1
cenergi 0 0 0 23 3
crg 0 0 0 3 1
1,170,400 0 0 0 1 0
3.38 0 1 0 0 3
1.53 1 2 0 0 6
543 0 1 0 0 0
182 0 1 0 0 2
cosmo 0 0 0 0 1
csmo 0 0 0 0 1
38.3 0 0 0 0 2
weiss 0 0 0 1 4
248,000 0 1 0 0 4
losss 0 0 0 0 1
character 1 0 0 3 2
prospectu 0 0 0 3 8
flotat 0 0 1 3 6
13-cent 0 0 0 0 1
503 0 0 0 0 1
7.80 0 0 0 0 3
tsang 0 0 0 0 3
mansion 0 0 0 0 3
f.e 0 0 0 0 3
passenger-kilometr 0 0 0 0 1
flown 0 0 0 0 2
freight-kilometr 0 0 0 0 1
dragon 0 0 0 0 2
fledgl 1 0 1 0 1
gainsco 0 0 0 0 1
140,000 4 1 1 0 6
4,446,000 0 0 0 0 1
4,364,000 0 0 0 0 1
3,461,000 0 0 0 0 2
2,257,000 0 0 0 0 2
774,000 0 0 0 0 1
3,788,000 0 0 0 0 1
105,000 0 0 0 0 2
64,000 0 1 0 0 3
sight 1 0 6 2 2
nissei 0 0 0 2 0
cayman 0 0 0 2 0
depth 8 0 5 5 0
foothold 1 0 0 4 0
49.97 0 0 0 1 0
61.47 0 0 0 1 0
74.2 0 0 0 1 0
100.8 0 0 0 1 1
30.74 0 0 0 1 0
15.01 0 0 0 2 0
amswa 0 0 0 0 2
2,903,000 0 0 0 0 1
1,307,000 0 0 0 0 2
8,937,000 0 0 0 0 2
6,877,360 0 0 0 0 1
6,874,970 0 0 0 0 1
6,740,000 0 0 0 0 3
4,085,000 0 0 0 0 1
6,875,706 0 0 0 0 1
6,605,879 0 0 0 0 1
srp 0 0 0 0 1
jamaica 2 5 0 0 0
pl-480 0 4 0 0 0
1,503.5 0 1 0 0 0
red 1 14 1 1 8
srw 0 8 0 0 0
5/30 0 2 0 0 0
117.44 0 2 0 0 0
8,250 0 1 0 0 0
spring/dark 0 1 0 0 0
ns/dn 0 2 0 0 0
15/may 0 2 0 0 0
123.97 0 1 0 0 0
brownsvil 0 1 0 0 0
nichemen 0 2 0 0 0
12/juli 0 1 0 0 0
103.43 0 1 0 0 0
25/june 0 1 0 0 0
121.89 0 1 0 0 0
10/may 0 4 0 0 0
120.88 0 1 0 0 0
8,469.5 0 1 0 0 0
dreyfu 0 7 0 0 1
4,500 3 3 0 0 1
yellow 2 6 0 0 3
76.09 0 1 0 0 0
5,300 0 3 0 0 0
20/may 0 2 0 0 0
75.89 0 1 0 0 0
10/june 0 2 0 0 0
75.49 0 2 0 0 0
1/25 0 1 0 0 0
loiu 0 1 0 0 0
3,700 0 2 0 0 0
apirl 0 1 0 0 1
76.29 0 1 0 0 0
75.68 0 1 0 0 0
9,500 0 2 0 0 0
hold-up 0 1 0 0 0
725,023 0 1 0 0 0
774,704 0 1 0 0 0
158,109 0 1 0 0 0
147,214 0 1 0 0 0
104,704 0 1 0 0 0
91,381 0 1 0 0 0
137,000 0 2 0 0 2
59,500 0 1 0 0 0
53,000 0 1 0 0 0
24,500 0 1 0 0 0
233,600 0 1 0 0 0
47,000 0 1 0 0 1
78,600 0 1 0 0 0
rapese 0 9 0 0 0
93.86 0 1 0 0 0
minneapoli 0 6 0 3 2
93.36 0 1 0 0 0
benguet 0 0 0 0 1
154.7 0 0 0 1 1
127.5 0 0 0 0 2
4.42 0 0 0 2 2
621.2 0 0 0 0 1
203.4 0 0 0 0 1
4.80 0 1 0 4 2
3.95 0 0 1 0 2
quadrex 0 0 0 0 1
quad 0 0 0 0 1
1,497,000 0 0 0 0 1
1,135,000 0 0 0 0 2
1,377,000 0 0 0 0 1
57.7 0 0 0 0 2
55.1 0 0 0 0 1
signtech 0 0 0 0 1
vbi 0 0 0 3 0
indi 0 0 0 2 0
dmcb 0 0 0 0 1
516,063 0 0 0 0 1
328,468 0 0 0 0 1
homestead 0 0 0 0 5
hfl 0 0 0 0 1
41.1 0 0 0 0 6
6,349,753 0 0 0 0 2
4,403,852 0 0 0 0 3
2,869,000 0 0 0 0 2
1,252,000 0 0 0 0 2
5,054,844 0 0 0 0 2
neic 0 0 0 0 2
236,469 0 0 0 0 2
734,609 0 0 0 0 2
2,522,293 0 0 0 0 2
645,438 0 0 0 0 2
1,653,386 0 0 0 0 2
2,646,876 0 0 0 0 2
pitt-d 0 0 0 2 2
moin 0 1 0 2 2
pdm 0 0 0 1 1
well-tim 0 1 1 0 0
ever-grow 0 0 1 0 0
psycholog 1 0 5 0 0
complementari 0 0 1 2 0
instantli 0 0 1 0 0
quarter-point 0 0 1 0 0
147.50 0 0 4 0 0
spearhead 0 0 2 0 0
skid 0 0 1 0 0
prop 0 0 4 0 0
wrong-foot 0 0 1 0 0
mesmer 0 0 1 0 0
snow 0 18 3 0 1
score 0 1 1 0 0
redress 0 0 5 0 0
consensu 1 0 2 0 0
lip 0 0 1 0 0
dollar-buy 0 0 1 0 0
half-heart 0 0 2 0 0
gestur 0 1 2 0 2
pro-forma 0 0 1 0 3
francois 0 0 1 0 0
soares-kemp 0 0 1 0 0
lyonnai 0 0 1 0 0
discord 0 0 1 0 0
doom 0 0 1 0 0
jimmi 0 0 1 0 0
tune 0 0 2 1 1
anybodi 0 1 1 2 1
stomach 0 0 1 0 0
futil 0 0 2 0 0
seventi 0 0 1 0 0
leap 0 0 3 0 1
188 1 0 1 1 1
thirti 0 0 1 1 0
swim 0 0 1 1 0
invok 0 0 4 1 0
imposs 1 1 6 2 0
levi 5 18 1 2 0
co-respons 0 2 0 0 0
edgar 0 1 0 1 0
pye 0 3 0 2 0
ukasta 0 2 0 0 0
glasgow 0 1 0 0 0
fat 0 1 0 3 0
tooth 0 1 0 0 0
nail 0 1 0 0 0
fefac 0 2 0 0 0
livingwel 0 0 0 4 1
187.3 0 0 0 0 1
129.7 0 0 0 0 1
astra 0 0 0 5 0
netherlands-bas 0 0 0 1 0
bommened 0 0 0 1 0
houdstermaatschappij 0 0 0 1 0
bv 0 0 0 5 0
earthmov 0 0 0 1 0
donat 0 5 0 2 0
440 0 0 0 1 1
harman 0 0 0 0 1
hnh 0 0 0 0 1
7,041,000 0 0 0 0 1
138.9 0 0 0 0 2
131.4 0 0 0 0 1
8,843,000 0 0 0 0 1
6,306,0000 0 0 0 0 1
558.9 0 0 0 0 1
556.7 0 0 0 0 1
u.s.-produc 0 2 0 0 0
tifton 0 0 0 1 0
mnh 0 0 0 0 1
2,033,425 0 0 0 0 1
3,718,325 0 0 0 0 1
120.6 0 0 0 0 2
79.5 0 0 0 0 2
504,571 0 0 0 0 1
angelica 0 0 0 0 1
agl 0 0 0 11 2
4,399,000 0 0 0 0 1
3,768,000 0 0 0 0 1
16,701,000 0 0 0 0 1
17,159,000 0 0 0 0 1
291.7 0 0 0 0 1
wqith 0 0 0 0 1
ilfc 0 0 0 0 1
7,121,000 0 0 0 0 1
4,481,000 0 0 0 0 1
37.4 0 2 0 0 5
30,067,000 0 0 0 0 1
29,735,000 0 0 0 0 1
tcel 0 0 0 0 1
117,989 0 0 0 0 1
528,394 0 0 0 0 1
820,484 0 0 0 0 1
35,186 0 0 0 0 1
8,226,577 0 0 0 0 1
3,150,000 0 0 0 0 2
527,864 0 0 0 0 1
1,177,434 0 0 0 0 1
1,975,487 0 0 0 0 1
90,875 0 0 0 0 1
7,277,418 0 0 0 0 1
wilder 1 0 0 0 1
183,500 0 0 0 0 1
163,800 0 0 0 0 1
608,800 0 0 0 0 1
1,156,100 0 0 0 0 1
1,128,600 0 0 0 0 1
1,081,600 0 0 0 0 1
3,811,200 0 0 0 0 1
6,968,700 0 0 0 0 1
hecla 0 0 0 9 0
hl 0 0 0 3 0
green 0 2 0 8 10
creek 1 0 0 12 0
amselco 0 0 0 4 0
gold-silver-lead-zinc 0 0 0 3 0
admiralti 0 0 0 3 0
assay 0 0 0 3 0
24.0 0 0 0 2 4
zinc 0 1 0 4 2
trackless 0 0 0 1 0
preproduct 0 0 0 1 0
exaia 0 0 0 1 0
4,400 0 2 0 0 0
100.00 0 2 0 0 0
rahr 0 1 0 0 0
76,300 0 1 0 0 0
elxsi 0 0 0 0 1
elxsf 0 0 0 0 1
2,922,000 0 0 0 0 2
4,071,000 0 0 0 0 1
8,012,000 0 0 0 0 1
46.2 0 0 0 1 2
roadway 0 0 0 0 1
116,843 0 0 0 0 1
41,400 0 0 0 0 1
639,448 0 0 0 0 1
35.8 0 1 0 0 5
ici 0 0 0 1 7
lister 0 0 0 3 0
ici.l 0 0 0 1 0
messel 0 0 0 1 0
dyer 0 0 0 2 0
silk 0 0 0 1 0
wool 0 2 0 1 0
man-mad 0 0 0 1 0
carroon 0 0 0 2 0
poggi-harrison 0 0 0 1 0
rosskopf 0 0 0 1 0
rapp 0 0 0 1 0
schmidt 0 0 2 3 2
laser 0 0 0 3 7
lser 0 0 0 0 1
length 1 0 1 3 1
allwast 0 0 0 7 0
alw 0 0 0 3 0
air-mov 0 0 0 3 0
preform 0 0 0 1 0
ncro.l 0 0 0 2 0
342p 0 0 0 1 0
2p 0 0 0 1 1
742 0 0 0 1 1
2,890,000 0 0 0 1 0
ohsc 0 0 0 0 1
1,026,000 0 0 0 0 1
25.4 0 0 0 0 6
3,682,000 0 0 0 0 1
3,858,000 0 0 0 0 1
torchmark 0 0 0 0 2
tmk 0 0 0 0 1
debenur 0 0 0 0 1
britoil 0 0 0 0 3
759 0 0 1 0 3
illr 0 0 0 1 0
dlr-asset 0 0 0 1 0
milwaukee-bas 0 0 0 1 0
mcrp 0 0 0 1 0
1,508,000 0 0 0 0 1
56,000 0 4 0 0 2
1,187,000 0 0 0 0 2
22,568,000 0 0 0 0 1
20,591,000 0 0 0 0 1
7,977,000 0 0 0 0 1
6,005,000 0 0 0 0 1
3,699,000 0 0 0 0 1
2,391,000 0 0 0 0 1
21,111,000 0 0 0 0 1
20,578,000 0 0 0 0 1
kren 0 0 0 0 2
3,009,000 0 0 0 0 2
8,787,000 0 0 0 0 2
3,545,000 0 0 0 0 2
4,573,000 0 0 0 0 3
6,768,000 0 0 0 0 1
14.58p 0 0 0 0 1
7.86p 0 0 0 0 1
9.75p 0 0 0 0 1
68.6 0 0 0 0 2
45.9 0 0 0 0 1
29.0 0 0 0 0 6
outgo 0 0 0 0 1
10.40 0 2 0 0 0
11.72 0 1 0 0 0
awf 0 5 0 0 0
wale 0 3 0 3 1
fallow 0 2 0 0 0
paddock 0 1 0 0 0
statutori 0 1 0 1 1
puls 0 1 0 0 0
0.82 0 2 0 0 0
n.s.w 0 1 0 0 0
3.07 0 3 0 1 3
victoria 0 2 0 1 0
1.63 0 3 0 0 3
s.australia 0 1 0 0 0
2.30 0 2 0 1 4
w.australia 0 1 0 0 0
3.53 0 1 0 0 2
5.60 0 1 1 0 1
winthrop 0 0 0 3 2
wmi 0 0 0 0 1
taro 0 0 0 0 1
vit 0 0 0 0 1
tarof 0 0 0 0 1
488,759 0 0 0 0 1
14,289 0 0 0 0 1
6,067,676 0 0 0 0 1
5,047,383 0 0 0 0 1
quest 0 0 0 14 1
qbio 0 0 0 2 0
alza 0 0 0 9 0
aza 0 0 0 2 0
blood 0 0 1 8 0
woodsid 0 0 0 0 7
wpla. 0 0 0 0 2
pre-minor 0 0 0 0 1
17.40 0 0 0 0 1
17.14 0 0 0 0 2
8.73 0 0 0 0 2
220.84 0 0 0 0 2
173.50 0 0 0 0 2
17.77 0 0 0 0 1
12.02 0 0 0 0 1
666.67 0 0 0 0 1
10.04 0 0 0 0 2
18.59 0 0 0 0 1
82.36 0 0 0 0 1
65.94 0 0 0 0 1
64.77 0 0 0 0 1
35.74 0 0 0 0 1
3.57 0 0 1 0 2
7.55 0 0 0 0 1
3.91 0 0 0 0 4
foremost 1 0 1 4 1
2,510,000 0 0 0 1 1
seedl 0 1 0 0 0
transplant 0 1 0 1 0
hainan 0 1 1 0 0
840,000 0 1 0 0 1
peanut 0 3 0 0 0
67,000 0 1 0 1 1
157.5 0 0 0 0 2
hk 0 0 0 15 3
uiie 0 0 0 2 0
arnold 1 0 0 1 0
safer 1 0 0 0 0
liter 1 0 0 0 0
nymex 11 0 0 0 0
starrett 0 0 0 0 1
1,869,000 0 0 0 0 1
5,386,000 0 0 0 0 2
5,147,000 0 0 0 0 1
2,062,000 0 0 0 0 1
950 1 0 3 0 0
chartwel 0 0 0 0 1
ctwl 0 0 0 0 1
549,000 0 0 0 0 1
2,441,000 0 0 0 0 2
vishay 0 0 0 0 3
vsh 0 0 0 0 1
intertechnolog 0 0 0 0 1
tock 0 0 0 0 1
114,108,000 0 0 0 0 1
140,389,000 0 0 0 0 1
107.5 0 0 0 0 2
100.5 0 0 0 0 2
65.9 0 0 0 0 5
82.8 0 0 0 0 1
96.7 0 0 0 0 1
bulg 0 0 0 1 0
pounc 0 0 0 1 0
microchip 0 0 1 5 0
nmsc.t 0 0 0 1 0
daiwa 0 0 0 1 0
dsec.t 0 0 0 1 0
stronghold 0 0 0 1 0
richest 0 0 0 2 0
neighbour 3 0 1 1 0
loom 0 0 1 3 0
erect 1 0 0 2 0
dozen 6 0 0 2 1
flurri 0 1 0 2 0
dainippon 0 0 0 8 0
ink 0 0 0 4 0
diac.t 0 0 0 1 0
arts-rel 0 0 0 1 0
uneth 0 0 0 1 0
frown 0 0 0 1 0
peac 2 0 0 1 0
amic 0 0 0 3 0
acquaint 0 0 0 1 0
mega-d 0 0 0 1 0
high-technolog 0 0 0 4 0
deviat 0 0 1 1 0
go-between 0 0 0 1 0
ah 0 0 0 2 0
elex 0 0 0 2 0
electrostat 0 0 0 1 0
maricorp 0 0 0 1 0
1.3043 0 0 0 1 0
btr 0 0 0 7 1
southernnet 0 0 0 0 1
sout 0 0 0 0 1
3,370,000 0 0 0 0 1
353,000 0 0 0 0 2
3,845,000 0 0 0 0 2
103.6 0 0 0 0 1
74.8 0 0 0 0 3
doneg 0 0 0 0 3
dgic 0 0 0 0 2
155,764 0 0 0 0 2
6,506,792 0 0 0 0 2
startup 0 0 0 0 6
26-1/4 0 0 0 0 2
47.4 0 0 0 0 9
65.2 0 0 0 0 3
6.52 0 0 0 0 3
6.53 1 0 0 0 1
454.9 0 0 0 0 1
1.03 1 0 0 0 11
499.1 0 0 0 0 1
722.6 0 0 0 0 1
509.5 0 0 0 0 1
427.3 0 0 0 0 1
366.8 0 0 0 0 1
215.8 0 0 0 0 2
division 0 0 0 0 1
184.9 0 0 0 0 2
